FileBatchCategory,Batch,Day,Hours,Subject
TimeTable,1A21,Monday,8:00 AM,CBCL(G114)
TimeTable,1A22,Monday,8:00 AM,CBO(G141)
TimeTable,1A23,Monday,8:00 AM,CBTL(G253-A)
TimeTable,1A24,Monday,8:00 AM,PL-1
TimeTable,1A25,Monday,8:00 AM,PL-2
TimeTable,1A26,Monday,8:00 AM,PL-3
TimeTable,1A27,Monday,8:00 AM,E304
TimeTable,1A28,Monday,8:00 AM,E303
TimeTable,1A11,Monday,8:50 AM,UCB009L
TimeTable,1A21,Monday,8:50 AM,LAB
TimeTable,1A22,Monday,8:50 AM,LAB
TimeTable,1A23,Monday,8:50 AM,LAB
TimeTable,1A24,Monday,8:50 AM,LAB
TimeTable,1A25,Monday,8:50 AM,LAB
TimeTable,1A26,Monday,8:50 AM,LAB
TimeTable,1A27,Monday,8:50 AM,UMA022T
TimeTable,1A28,Monday,8:50 AM,UES013T
TimeTable,1A51,Monday,8:50 AM,UMA022L
TimeTable,1X11,Monday,8:50 AM,UES013L
TimeTable,1A11,Monday,8:50 AM,LP101
TimeTable,1A21,Monday,8:50 AM,TA22/TA28
TimeTable,1A22,Monday,8:50 AM,TA23/TA25
TimeTable,1A23,Monday,8:50 AM,TA8/TA16
TimeTable,1A24,Monday,8:50 AM,ANB-RA
TimeTable,1A25,Monday,8:50 AM,PTK-RA
TimeTable,1A26,Monday,8:50 AM,RCH-RA
TimeTable,1A27,Monday,8:50 AM,E304
TimeTable,1A28,Monday,8:50 AM,E303
TimeTable,1A51,Monday,8:50 AM,LP102
TimeTable,1X11,Monday,8:50 AM,LP103
TimeTable,1A11,Monday,9:40 AM,UEN008L
TimeTable,1A21,Monday,9:40 AM,UES103P
TimeTable,1A22,Monday,9:40 AM,UES103P
TimeTable,1A23,Monday,9:40 AM,UES103P
TimeTable,1A24,Monday,9:40 AM,UCB009P
TimeTable,1A25,Monday,9:40 AM,UCB009P
TimeTable,1A26,Monday,9:40 AM,UCB009P
TimeTable,1A27,Monday,9:40 AM,UES013P
TimeTable,1A28,Monday,9:40 AM,UES013P
TimeTable,1A31,Monday,9:40 AM,UES013P
TimeTable,1A32,Monday,9:40 AM,UES013P
TimeTable,1A33,Monday,9:40 AM,UES013T
TimeTable,1A34,Monday,9:40 AM,UMA022T
TimeTable,1A51,Monday,9:40 AM,UES013L
TimeTable,1A92,Monday,9:40 AM,UES013T
TimeTable,1X11,Monday,9:40 AM,UMA022L
TimeTable,1A11,Monday,9:40 AM,LP101
TimeTable,1A21,Monday,9:40 AM,PL-1
TimeTable,1A22,Monday,9:40 AM,PL-2
TimeTable,1A23,Monday,9:40 AM,PL-3
TimeTable,1A24,Monday,9:40 AM,CBCL(G114)
TimeTable,1A25,Monday,9:40 AM,CBO(G141)
TimeTable,1A26,Monday,9:40 AM,CBTL(G253-A)
TimeTable,1A27,Monday,9:40 AM,E1/C334
TimeTable,1A28,Monday,9:40 AM,E2/C201
TimeTable,1A31,Monday,9:40 AM,C334/EI
TimeTable,1A32,Monday,9:40 AM,C201/E2
TimeTable,1A33,Monday,9:40 AM,E303
TimeTable,FIRST YEAR -A,Monday,9:40 AM,RF12
TimeTable,1A34,Monday,9:40 AM,E304
TimeTable,1A51,Monday,9:40 AM,LP102
TimeTable,1A92,Monday,9:40 AM,E305
TimeTable,1X11,Monday,9:40 AM,LP103
TimeTable,1A11,Monday,10:30 AM,UES013L
